foundation,state,city,allocation
ZSR,NC,Charlotte,571500
ZSR,NC,Cherokee,20000
ZSR,NC,Durham,2372164
ZSR,NC,Eden,35000
ZSR,NC,Fayetteville,35000
ZSR,NC,Franklin,30000
ZSR,NC,Greensboro,280000
ZSR,NC,Greenville,260000
ZSR,NC,Henderson,25000
ZSR,NC,Hendersonville,130000
ZSR,NC,High Point,35000
ZSR,NC,Hollister,5000
ZSR,NC,Kinston,30000
ZSR,NC,Kitty Hawk,25000
ZSR,NC,Lexington,35000
ZSR,NC,Mebane,25000
ZSR,NC,Morganton,5000
ZSR,NC,Morgantown,35000
ZSR,NC,Murphy,20000
ZSR,NC,New Bern,25000
ZSR,NC,Newport,110000
ZSR,NC,Patterson,20000
ZSR,NC,Pittsboro,75000
ZSR,NC,Raeford,292831
ZSR,NC,Raleigh,4023000
ZSR,NC,Research Triangle Park,33775
ZSR,NC,Rich Square,100000
ZSR,NC,Robbins,25000
ZSR,NC,Robbinsville,25000
ZSR,NC,Rocky Mount,40000
ZSR,NC,Sanford,20000
ZSR,NC,Seagrove,35000
ZSR,NC,Shelby,20000
ZSR,NC,Siler City,30000
ZSR,NC,Spring Lake,30000
ZSR,NC,St. Pauls,40000
ZSR,NC,Star,50000
ZSR,NC,Swan Quarter,20000
ZSR,NC,Valdese,30000
ZSR,NC,Warrenton,20000
ZSR,NC,Waynesville,25000
ZSR,NC,West Jefferson,80000
ZSR,NC,Whitakers,20000
ZSR,NC,Wilmington,140000
ZSR,NC,Wilson,60000
ZSR,NC,Winston-Salem,315000
ZSR,SC,Conway,11000
