a_state_code,a_state_name,b_state_code,b_state_name,inflow,outflow,net_migration
4,Arizona,31,Nebraska,1751,1361,390
4,Arizona,32,Nevada,7514,5848,1666
4,Arizona,33,New Hampshire,580,338,242
4,Arizona,34,New Jersey,3437,1082,2355
4,Arizona,35,New Mexico,7928,6537,1391
4,Arizona,36,New York,5602,5270,332
4,Arizona,37,North Carolina,3882,4682,-800
4,Arizona,38,North Dakota,1540,915,625
4,Arizona,39,Ohio,4783,3079,1704
4,Arizona,40,Oklahoma,4258,2761,1497
4,Arizona,41,Oregon,8906,7225,1681
4,Arizona,42,Pennsylvania,5191,2644,2547
4,Arizona,44,Rhode Island,671,232,439
4,Arizona,45,South Carolina,1263,1887,-624
4,Arizona,46,South Dakota,1842,1033,809
4,Arizona,47,Tennessee,2468,2554,-86
4,Arizona,48,Texas,14272,18055,-3783
4,Arizona,49,Utah,8388,7673,715
4,Arizona,5,Arkansas,1027,1091,-64
4,Arizona,50,Vermont,487,138,349
4,Arizona,51,Virginia,4515,3064,1451
4,Arizona,53,Washington,13862,11012,2850
4,Arizona,54,West Virginia,407,110,297
4,Arizona,55,Wisconsin,5570,2621,2949
4,Arizona,56,Wyoming,1831,800,1031
4,Arizona,6,California,55513,33080,22433
4,Arizona,72,Puerto Rico,865,97,768
4,Arizona,8,Colorado,11000,10188,812
4,Arizona,9,Connecticut,1322,579,743
4,Arizona,AFR,Africa,1839,0,0
4,Arizona,ASI,Asia,14908,0,0
4,Arizona,CAM,Central America,13703,0,0
4,Arizona,CAR,Caribbean,964,0,0
4,Arizona,EUR,Europe,5242,0,0
4,Arizona,ISL,U.S. Island Areas,212,0,0
4,Arizona,NAM,Northern America,7899,0,0
4,Arizona,OCE,Oceania and At Sea,597,0,0
4,Arizona,SAM,South America,1766,0,0
5,Arkansas,1,Alabama,1112,1073,39
5,Arkansas,10,Delaware,5,0,5
5,Arkansas,11,District of Columbia,156,86,70
5,Arkansas,12,Florida,1903,3453,-1550
5,Arkansas,13,Georgia,2482,1866,616
