a_state_code,a_state_name,b_state_code,b_state_name,inflow,outflow,net_migration
12,Florida,31,Nebraska,1666,2048,-382
12,Florida,32,Nevada,4786,5576,-790
12,Florida,33,New Hampshire,5001,2375,2626
12,Florida,34,New Jersey,29776,10444,19332
12,Florida,35,New Mexico,2733,1995,738
12,Florida,36,New York,61767,26274,35493
12,Florida,37,North Carolina,26137,28213,-2076
12,Florida,38,North Dakota,733,1010,-277
12,Florida,39,Ohio,25644,14972,10672
12,Florida,4,Arizona,7826,8315,-489
12,Florida,40,Oklahoma,4154,3728,426
12,Florida,41,Oregon,2029,2918,-889
12,Florida,42,Pennsylvania,29855,14759,15096
12,Florida,44,Rhode Island,3366,2702,664
12,Florida,45,South Carolina,12647,14265,-1618
12,Florida,46,South Dakota,813,443,370
12,Florida,47,Tennessee,15082,17497,-2415
12,Florida,48,Texas,28428,33704,-5276
12,Florida,49,Utah,3309,2428,881
12,Florida,5,Arkansas,3453,1903,1550
12,Florida,50,Vermont,1972,923,1049
12,Florida,51,Virginia,24883,21002,3881
12,Florida,53,Washington,5503,8640,-3137
12,Florida,54,West Virginia,3166,2596,570
12,Florida,55,Wisconsin,8441,4305,4136
12,Florida,56,Wyoming,440,604,-164
12,Florida,6,California,26323,25058,1265
12,Florida,72,Puerto Rico,25986,4490,21496
12,Florida,8,Colorado,9250,11048,-1798
12,Florida,9,Connecticut,12672,6060,6612
12,Florida,AFR,Africa,4164,0,0
12,Florida,ASI,Asia,28769,0,0
12,Florida,CAM,Central America,17760,0,0
12,Florida,CAR,Caribbean,45529,0,0
12,Florida,EUR,Europe,23952,0,0
12,Florida,ISL,U.S. Island Areas,2405,0,0
12,Florida,NAM,Northern America,20293,0,0
12,Florida,OCE,Oceania and At Sea,1534,0,0
12,Florida,SAM,South America,41503,0,0
13,Georgia,1,Alabama,17131,21417,-4286
13,Georgia,10,Delaware,1139,744,395
13,Georgia,11,District of Columbia,1031,1159,-128
13,Georgia,12,Florida,43536,39554,3982
13,Georgia,15,Hawaii,1317,1990,-673
13,Georgia,16,Idaho,752,488,264
13,Georgia,17,Illinois,8686,5284,3402
13,Georgia,18,Indiana,3522,3702,-180
13,Georgia,19,Iowa,1468,1268,200
13,Georgia,2,Alaska,1993,1126,867
13,Georgia,20,Kansas,3262,2360,902
13,Georgia,21,Kentucky,3734,4610,-876
13,Georgia,22,Louisiana,5035,4447,588
13,Georgia,23,Maine,567,435,132
13,Georgia,24,Maryland,4891,5934,-1043
13,Georgia,25,Massachusetts,3521,3088,433
13,Georgia,26,Michigan,6563,5675,888
13,Georgia,27,Minnesota,2039,2318,-279
13,Georgia,28,Mississippi,4786,4083,703
13,Georgia,29,Missouri,3078,2933,145
13,Georgia,30,Montana,196,307,-111
13,Georgia,31,Nebraska,692,882,-190
13,Georgia,32,Nevada,1515,1457,58
13,Georgia,33,New Hampshire,580,443,137
13,Georgia,34,New Jersey,6016,3247,2769
13,Georgia,35,New Mexico,1383,782,601
13,Georgia,36,New York,16749,7498,9251
13,Georgia,37,North Carolina,16128,19284,-3156
13,Georgia,38,North Dakota,175,301,-126
13,Georgia,39,Ohio,8865,4658,4207
13,Georgia,4,Arizona,4425,3792,633
13,Georgia,40,Oklahoma,2059,2366,-307
13,Georgia,41,Oregon,958,996,-38
13,Georgia,42,Pennsylvania,7124,5470,1654
13,Georgia,44,Rhode Island,477,719,-242
13,Georgia,45,South Carolina,15206,15273,-67
13,Georgia,46,South Dakota,185,213,-28
13,Georgia,47,Tennessee,17096,15660,1436
13,Georgia,48,Texas,17187,18746,-1559
13,Georgia,49,Utah,1435,1740,-305
13,Georgia,5,Arkansas,1866,2482,-616
13,Georgia,50,Vermont,266,138,128
13,Georgia,51,Virginia,11377,9209,2168
13,Georgia,53,Washington,2910,5069,-2159
13,Georgia,54,West Virginia,844,921,-77
13,Georgia,55,Wisconsin,3006,1524,1482
13,Georgia,56,Wyoming,448,232,216
13,Georgia,6,California,14597,10998,3599
13,Georgia,72,Puerto Rico,2689,342,2347
13,Georgia,8,Colorado,4391,5756,-1365
13,Georgia,9,Connecticut,3603,1545,2058
13,Georgia,AFR,Africa,5726,0,0
13,Georgia,ASI,Asia,25483,0,0
13,Georgia,CAM,Central America,6407,0,0
13,Georgia,CAR,Caribbean,2491,0,0
13,Georgia,EUR,Europe,7932,0,0
13,Georgia,ISL,U.S. Island Areas,742,0,0
13,Georgia,NAM,Northern America,1222,0,0
13,Georgia,OCE,Oceania and At Sea,758,0,0
13,Georgia,SAM,South America,3974,0,0
21,Kentucky,1,Alabama,1873,2173,-300
21,Kentucky,10,Delaware,159,87,72
21,Kentucky,11,District of Columbia,197,219,-22
21,Kentucky,12,Florida,7536,8601,-1065
21,Kentucky,13,Georgia,4610,3734,876
21,Kentucky,15,Hawaii,467,269,198
21,Kentucky,16,Idaho,180,341,-161
21,Kentucky,17,Illinois,5417,3276,2141
21,Kentucky,18,Indiana,11037,10032,1005
21,Kentucky,19,Iowa,967,462,505
21,Kentucky,2,Alaska,587,553,34
21,Kentucky,20,Kansas,1205,970,235
21,Kentucky,22,Louisiana,1006,921,85
21,Kentucky,23,Maine,290,299,-9
21,Kentucky,24,Maryland,1680,805,875
21,Kentucky,25,Massachusetts,694,675,19
21,Kentucky,26,Michigan,2871,2789,82
21,Kentucky,27,Minnesota,760,337,423
21,Kentucky,28,Mississippi,901,832,69
21,Kentucky,29,Missouri,2117,1866,251
21,Kentucky,30,Montana,37,97,-60
21,Kentucky,31,Nebraska,569,417,152
21,Kentucky,32,Nevada,467,889,-422
21,Kentucky,33,New Hampshire,332,207,125
21,Kentucky,34,New Jersey,508,410,98
21,Kentucky,35,New Mexico,614,257,357
21,Kentucky,36,New York,3037,1124,1913
21,Kentucky,37,North Carolina,3233,3192,41
21,Kentucky,38,North Dakota,56,114,-58
21,Kentucky,39,Ohio,15721,14451,1270
21,Kentucky,4,Arizona,1013,1771,-758
21,Kentucky,40,Oklahoma,800,1233,-433
21,Kentucky,41,Oregon,466,363,103
21,Kentucky,42,Pennsylvania,1930,1667,263
21,Kentucky,44,Rhode Island,86,99,-13
21,Kentucky,45,South Carolina,1265,2463,-1198
21,Kentucky,46,South Dakota,177,51,126
21,Kentucky,47,Tennessee,11192,11966,-774
21,Kentucky,48,Texas,5797,6376,-579
21,Kentucky,49,Utah,425,524,-99
21,Kentucky,5,Arkansas,496,1011,-515
21,Kentucky,50,Vermont,115,121,-6
21,Kentucky,51,Virginia,2719,3363,-644
21,Kentucky,53,Washington,1427,1394,33
21,Kentucky,54,West Virginia,2465,1596,869
21,Kentucky,55,Wisconsin,1039,882,157
21,Kentucky,56,Wyoming,266,144,122
21,Kentucky,6,California,4277,3589,688
21,Kentucky,72,Puerto Rico,956,86,870
21,Kentucky,8,Colorado,1614,1758,-144
21,Kentucky,9,Connecticut,373,254,119
21,Kentucky,AFR,Africa,1366,0,0
21,Kentucky,ASI,Asia,8217,0,0
21,Kentucky,CAM,Central America,2233,0,0
21,Kentucky,CAR,Caribbean,866,0,0
21,Kentucky,EUR,Europe,2095,0,0
21,Kentucky,NAM,Northern America,597,0,0
21,Kentucky,OCE,Oceania and At Sea,250,0,0
21,Kentucky,SAM,South America,705,0,0
22,Louisiana,1,Alabama,3805,1745,2060
22,Louisiana,10,Delaware,101,58,43
22,Louisiana,11,District of Columbia,214,529,-315
22,Louisiana,12,Florida,5630,5772,-142
22,Louisiana,13,Georgia,4447,5035,-588
22,Louisiana,15,Hawaii,647,536,111
22,Louisiana,16,Idaho,113,230,-117
22,Louisiana,17,Illinois,2571,1614,957
22,Louisiana,18,Indiana,460,831,-371
22,Louisiana,19,Iowa,600,380,220
22,Louisiana,2,Alaska,633,421,212
22,Louisiana,20,Kansas,727,811,-84
22,Louisiana,21,Kentucky,921,1006,-85
22,Louisiana,23,Maine,36,522,-486
22,Louisiana,24,Maryland,851,616,235
22,Louisiana,25,Massachusetts,698,559,139
22,Louisiana,26,Michigan,1762,1136,626
22,Louisiana,27,Minnesota,607,429,178
22,Louisiana,28,Mississippi,8471,7853,618
22,Louisiana,29,Missouri,1324,1697,-373
22,Louisiana,30,Montana,301,196,105
22,Louisiana,31,Nebraska,208,300,-92
22,Louisiana,32,Nevada,492,358,134
22,Louisiana,33,New Hampshire,193,209,-16
22,Louisiana,34,New Jersey,709,901,-192
22,Louisiana,35,New Mexico,340,619,-279
22,Louisiana,36,New York,2398,1498,900
22,Louisiana,37,North Carolina,2679,2103,576
22,Louisiana,38,North Dakota,212,218,-6
22,Louisiana,39,Ohio,1566,1331,235
22,Louisiana,4,Arizona,571,1441,-870
22,Louisiana,40,Oklahoma,1861,2027,-166
22,Louisiana,41,Oregon,863,1168,-305
22,Louisiana,42,Pennsylvania,901,941,-40
22,Louisiana,44,Rhode Island,124,312,-188
22,Louisiana,45,South Carolina,1076,1574,-498
22,Louisiana,46,South Dakota,171,306,-135
22,Louisiana,47,Tennessee,2426,3158,-732
22,Louisiana,48,Texas,20638,28288,-7650
22,Louisiana,49,Utah,453,429,24
22,Louisiana,5,Arkansas,2257,3260,-1003
22,Louisiana,50,Vermont,32,33,-1
22,Louisiana,51,Virginia,2514,2423,91
22,Louisiana,53,Washington,1568,1069,499
22,Louisiana,54,West Virginia,348,115,233
22,Louisiana,55,Wisconsin,534,553,-19
22,Louisiana,56,Wyoming,120,259,-139
22,Louisiana,6,California,4959,4970,-11
22,Louisiana,72,Puerto Rico,466,68,398
22,Louisiana,8,Colorado,1875,2858,-983
22,Louisiana,9,Connecticut,293,270,23
22,Louisiana,AFR,Africa,513,0,0
22,Louisiana,ASI,Asia,4868,0,0
22,Louisiana,CAM,Central America,3266,0,0
22,Louisiana,CAR,Caribbean,1069,0,0
22,Louisiana,EUR,Europe,3280,0,0
22,Louisiana,ISL,U.S. Island Areas,122,0,0
22,Louisiana,NAM,Northern America,370,0,0
22,Louisiana,OCE,Oceania and At Sea,227,0,0
22,Louisiana,SAM,South America,733,0,0
28,Mississippi,1,Alabama,6467,7087,-620
28,Mississippi,10,Delaware,64,76,-12
28,Mississippi,11,District of Columbia,25,139,-114
28,Mississippi,12,Florida,5135,5530,-395
28,Mississippi,13,Georgia,4083,4786,-703
28,Mississippi,15,Hawaii,355,167,188
28,Mississippi,16,Idaho,379,95,284
28,Mississippi,17,Illinois,2827,1928,899
28,Mississippi,18,Indiana,815,839,-24
28,Mississippi,19,Iowa,244,337,-93
28,Mississippi,2,Alaska,184,140,44
28,Mississippi,20,Kansas,222,169,53
28,Mississippi,21,Kentucky,832,901,-69
28,Mississippi,22,Louisiana,7853,8471,-618
28,Mississippi,23,Maine,67,10,57
28,Mississippi,24,Maryland,539,788,-249
28,Mississippi,25,Massachusetts,399,243,156
28,Mississippi,26,Michigan,1175,1324,-149
28,Mississippi,27,Minnesota,151,342,-191
28,Mississippi,29,Missouri,1230,1584,-354
28,Mississippi,30,Montana,253,188,65
28,Mississippi,31,Nebraska,513,138,375
28,Mississippi,32,Nevada,435,434,1
28,Mississippi,33,New Hampshire,67,156,-89
28,Mississippi,34,New Jersey,607,206,401
28,Mississippi,35,New Mexico,254,404,-150
28,Mississippi,36,New York,567,960,-393
28,Mississippi,37,North Carolina,1275,1323,-48
28,Mississippi,38,North Dakota,6,378,-372
28,Mississippi,39,Ohio,1024,928,96
28,Mississippi,4,Arizona,740,700,40
28,Mississippi,40,Oklahoma,760,1183,-423
28,Mississippi,41,Oregon,215,454,-239
28,Mississippi,42,Pennsylvania,784,661,123
28,Mississippi,44,Rhode Island,15,166,-151
28,Mississippi,45,South Carolina,1177,1168,9
28,Mississippi,46,South Dakota,11,36,-25
28,Mississippi,47,Tennessee,10436,9307,1129
28,Mississippi,48,Texas,6614,10401,-3787
28,Mississippi,49,Utah,115,609,-494
28,Mississippi,5,Arkansas,2045,2983,-938
28,Mississippi,50,Vermont,0,15,-15
28,Mississippi,51,Virginia,1062,1354,-292
28,Mississippi,53,Washington,1076,555,521
28,Mississippi,54,West Virginia,495,172,323
28,Mississippi,55,Wisconsin,579,618,-39
28,Mississippi,56,Wyoming,51,0,51
28,Mississippi,6,California,4240,2538,1702
28,Mississippi,72,Puerto Rico,493,54,439
28,Mississippi,8,Colorado,703,1060,-357
28,Mississippi,9,Connecticut,119,54,65
28,Mississippi,AFR,Africa,214,0,0
28,Mississippi,ASI,Asia,2721,0,0
28,Mississippi,CAM,Central America,1336,0,0
28,Mississippi,CAR,Caribbean,849,0,0
28,Mississippi,EUR,Europe,728,0,0
28,Mississippi,ISL,U.S. Island Areas,33,0,0
28,Mississippi,NAM,Northern America,195,0,0
28,Mississippi,OCE,Oceania and At Sea,144,0,0
28,Mississippi,SAM,South America,421,0,0
37,North Carolina,1,Alabama,3882,4319,-437
37,North Carolina,10,Delaware,1235,936,299
37,North Carolina,11,District of Columbia,2125,1570,555
37,North Carolina,12,Florida,28213,26137,2076
37,North Carolina,13,Georgia,19284,16128,3156
37,North Carolina,15,Hawaii,1960,1975,-15
37,North Carolina,16,Idaho,643,899,-256
37,North Carolina,17,Illinois,7274,4930,2344
37,North Carolina,18,Indiana,3514,3652,-138
37,North Carolina,19,Iowa,1446,1225,221
37,North Carolina,2,Alaska,2270,1266,1004
37,North Carolina,20,Kansas,1956,1804,152
37,North Carolina,21,Kentucky,3192,3233,-41
37,North Carolina,22,Louisiana,2103,2679,-576
37,North Carolina,23,Maine,1324,798,526
37,North Carolina,24,Maryland,10379,7754,2625
37,North Carolina,25,Massachusetts,5801,3181,2620
37,North Carolina,26,Michigan,6002,4057,1945
37,North Carolina,27,Minnesota,2482,1607,875
37,North Carolina,28,Mississippi,1323,1275,48
37,North Carolina,29,Missouri,3159,3418,-259
37,North Carolina,30,Montana,476,668,-192
37,North Carolina,31,Nebraska,842,471,371
37,North Carolina,32,Nevada,1748,1880,-132
37,North Carolina,33,New Hampshire,1228,739,489
37,North Carolina,34,New Jersey,11152,3664,7488
37,North Carolina,35,New Mexico,1100,689,411
37,North Carolina,36,New York,25267,10270,14997
37,North Carolina,38,North Dakota,510,145,365
37,North Carolina,39,Ohio,9739,8474,1265
37,North Carolina,4,Arizona,4682,3882,800
37,North Carolina,40,Oklahoma,1573,1915,-342
37,North Carolina,41,Oregon,1299,1524,-225
37,North Carolina,42,Pennsylvania,12633,8239,4394
37,North Carolina,44,Rhode Island,799,957,-158
37,North Carolina,45,South Carolina,26869,29212,-2343
37,North Carolina,46,South Dakota,595,272,323
37,North Carolina,47,Tennessee,7696,10060,-2364
37,North Carolina,48,Texas,13385,14651,-1266
37,North Carolina,49,Utah,977,1335,-358
37,North Carolina,5,Arkansas,865,1257,-392
37,North Carolina,50,Vermont,624,431,193
37,North Carolina,51,Virginia,30914,22097,8817
37,North Carolina,53,Washington,3646,5272,-1626
37,North Carolina,54,West Virginia,3605,2431,1174
37,North Carolina,55,Wisconsin,1983,2030,-47
37,North Carolina,56,Wyoming,291,165,126
37,North Carolina,6,California,18037,12934,5103
37,North Carolina,72,Puerto Rico,1726,400,1326
37,North Carolina,8,Colorado,4305,5304,-999
37,North Carolina,9,Connecticut,5684,1573,4111
37,North Carolina,AFR,Africa,3820,0,0
37,North Carolina,ASI,Asia,23535,0,0
37,North Carolina,CAM,Central America,6869,0,0
37,North Carolina,CAR,Caribbean,2126,0,0
37,North Carolina,EUR,Europe,8974,0,0
37,North Carolina,ISL,U.S. Island Areas,517,0,0
37,North Carolina,NAM,Northern America,1046,0,0
37,North Carolina,OCE,Oceania and At Sea,723,0,0
